// HALF-LIFE SPEECH SYSTEM SENTENCES. DO NOT MODIFY THIS FILE! Max of 1023 sentences.

// HUMAN GRUNTS
HG_GREN0 sentences/HG_GREN0
SC_POWER_WOUND2 scientist/sc_power_wound2

//c2a3 scripts
SC_ICKY scientist/c2a3_sci_icky
SC_TRACK scientist/c2a3_sci_track

//c2a4 scripts
SC_ARG1A scientist/c2a4_sci_arg2a
SC_ARG2A scientist/c2a4_sci_arg4a

SC_TAU2A scientist/c2a4_sci_2tau
SC_TAU4A scientist/c2a4_sci_4tau

SC_1PSURG scientist/c2a4_sci_scanner
SC_2PSURG scientist/c2a4_sci_sugicaloff
SC_3PSURG scientist/c2a4_sci_surgury
SC_ALLDIE scientist/c2a4_sci_alldie
SC_LETOUT scientist/c2a4_sci_letout

//c2a5 scripts
SC_BOOBIE scientist/c2a5_sci_boobie
SC_LEBUZ scientist/c2a5_sci_lebuz

//c3a2 scripts

SC_STRAWS scientist/c3a2_sci_straws
SC_GLUON2A scientist/c3a2_sci_2glu
SC_FLOOD scientist/c3a2_sci_flood
SC_LINGER scientist/c3a2_sci_linger
SC_SURVEY1A scientist/c3a2_sci_1surv
SC_SURVEY3A scientist/c3a2_sci_3surv
SC_SURVEY5A scientist/c3a2_sci_5surv
SC_SURVEY7A scientist/c3a2_sci_7surv
SC_LJUMP scientist/c3a2_sci_ljump
SC_UPHERE scientist/c3a2_sci_uphere
SC_PORTAL scientist/c3a2_sci_portal
SC_PORTOPEN scientist/c3a2_sci_portopen
SC_POSITION scientist/c3a2_sci_position
SC_FOREVER scientist/c3a2_sci_forever
SC_NOTYET scientist/c3a2_sci_notyet
SC_FOOL scientist/c3a2_sci_fool

//miscellaneous useful scripts
SC_LETYOUIN scientist/letyouin
SC_OVERHERE scientist/overhere

// Dr. Rosenburg

RO_OK0 rosenberg/ro_ok0
RO_OK1 rosenberg/ro_ok1
RO_OK2 rosenberg/ro_ok2
RO_OK3 rosenberg/ro_ok3
RO_OK4 rosenberg/ro_ok4
RO_OK5 rosenberg/ro_ok5
RO_OK6 rosenberg/ro_ok6
RO_OK7 rosenberg/ro_ok7
RO_OK8 rosenberg/ro_ok8
RO_OK9 rosenberg/ro_ok9

RO_WAIT0 rosenberg/ro_wait0
RO_WAIT1 rosenberg/ro_wait1
RO_WAIT2 rosenberg/ro_wait2
RO_WAIT3 rosenberg/ro_wait3
RO_WAIT4 rosenberg/ro_wait4
RO_WAIT5 rosenberg/ro_wait5
RO_WAIT6 rosenberg/ro_wait6
RO_WAIT7 rosenberg/ro_wait7

// fail to follow player any more
RO_STOP0 rosenberg/ro_stop0
RO_STOP1 rosenberg/ro_stop1
RO_STOP2 rosenberg/ro_stop2
RO_STOP3 rosenberg/ro_stop3
RO_STOP4 rosenberg/ro_stop4


// player is staring at scientist
RO_STARE0 scientist/yees
RO_STARE1 scientist/areyouthink
RO_STARE2 scientist/noidea

RO_HELLO0 common/null

RO_ANSWER0 scientist/notsure
RO_ANSWER1 scientist/notcertain
RO_ANSWER2 scientist/perhaps
RO_ANSWER3 scientist/whocansay
RO_ANSWER4 scientist/inconclusive
RO_ANSWER5 scientist/theoretically
RO_ANSWER6 scientist/whyaskme
RO_ANSWER7 scientist/lowervoice
RO_ANSWER8 scientist/ofcourse
RO_ANSWER9 scientist/absolutely
RO_ANSWER10 scientist/yes
RO_ANSWER11 scientist/ibelieveso
RO_ANSWER12 scientist/right
RO_ANSWER13 scientist/imsure
RO_ANSWER14 scientist/positively
RO_ANSWER15 scientist/nodoubt
RO_ANSWER16 scientist/yees
RO_ANSWER17 scientist/ofcoursenot
RO_ANSWER18 scientist/absolutelynot
RO_ANSWER19 scientist/noo
RO_ANSWER20 scientist/idontthinkso
RO_ANSWER21 scientist/completelywrong
RO_ANSWER22 scientist/cantbeserious
RO_ANSWER23 scientist/dontknow
RO_ANSWER24 scientist/ridiculous
RO_ANSWER25 scientist/shutup
RO_ANSWER26 scientist/noguess
RO_ANSWER27 scientist/stopasking
RO_ANSWER28 scientist/justasked
RO_ANSWER29 scientist/repeat

RO_QUESTION0 scientist/everseen
RO_QUESTION1 scientist/needsleep
RO_QUESTION2 scientist/areyouthink
RO_QUESTION3 scientist/evergetout
RO_QUESTION4 scientist/rightwayout
RO_QUESTION5 scientist/cantbeworse
RO_QUESTION6 scientist/rescueus
RO_QUESTION7 scientist/fascinating
RO_QUESTION8 scientist/stimulating
RO_QUESTION9 scientist/luckwillchange
RO_QUESTION10 scientist/hearsomething
RO_QUESTION11 scientist/doyousmell
RO_QUESTION12 scientist/uselessphd
RO_QUESTION13 scientist/waithere
RO_QUESTION14 scientist/survival
RO_QUESTION15 scientist/headcrab
RO_QUESTION16 scientist/goodpaper
RO_QUESTION17 scientist/catchone
RO_QUESTION18 scientist/dinner
RO_QUESTION19 scientist/alientrick
RO_QUESTION20 scientist/alienappeal
RO_QUESTION21 scientist/rumorclean
RO_QUESTION22 scientist/nothostile
RO_QUESTION23 scientist/announcer
RO_QUESTION24 scientist/smellburn
RO_QUESTION25 scientist/noidea
RO_QUESTION26 scientist/whatnext

RO_IDLE0 scientist/ipredictedthis
RO_IDLE1 scientist/containfail
RO_IDLE2 scientist/chaostheory
RO_IDLE3 scientist/howinteresting
RO_IDLE4 scientist/neverseen
RO_IDLE5 scientist/peculiarmarks
RO_IDLE6 scientist/whoresponsible
RO_IDLE7 scientist/nogrant
RO_IDLE8 scientist/bloodsample
RO_IDLE9 scientist/administrator
RO_IDLE10 scientist/improbable
RO_IDLE11 scientist/organicmatter
RO_IDLE12 scientist/lambdalab
RO_IDLE13 scientist/ihearsomething

RO_NOGO scientist/dontgothere

RO_MONST0 scientist/seeheadcrab
RO_MONST1 scientist/importantspecies

RO_HEAR0 scientist/ihearsomething
RO_HEAR1 scientist/didyouhear
RO_HEAR2 scientist/whatissound

RO_SMELL0 scientist/somethingfoul
RO_SMELL1 scientist/odorfromyou
RO_SMELL2 scientist/peculiarodor
RO_SMELL3 scientist/stench

RO_WOUND0 rosenberg/ro_wound0
RO_WOUND1 rosenberg/ro_wound1

RO_MORTAL0 rosenberg/ro_mortal0
RO_MORTAL1 rosenberg/ro_mortal1

RO_CUREA rosenberg/ro_cure0
RO_CUREB rosenberg/ro_cure1
RO_CUREC rosenberg/ro_cure2

RO_HEAL0 rosenberg/ro_heal0
RO_HEAL1 rosenberg/ro_heal1
RO_HEAL2 rosenberg/ro_heal2
RO_HEAL3 rosenberg/ro_heal3
RO_HEAL4 rosenberg/ro_heal4

RO_PLFEAR0 rosenberg/ro_plfear0
RO_PLFEAR1 rosenberg/ro_plfear1
RO_PLFEAR2 rosenberg/ro_plfear2
RO_PLFEAR3 rosenberg/ro_plfear3
RO_PLFEAR4 rosenberg/ro_plfear4

RO_FEAR0 rosenberg/ro_fear0
RO_FEAR1 rosenberg/ro_fear1
RO_FEAR2 rosenberg/ro_fear2
RO_FEAR3 rosenberg/ro_fear3
RO_FEAR4 rosenberg/ro_fear4
RO_FEAR5 rosenberg/ro_fear5

RO_SCREAM0 rosenberg/ro_fear0
RO_SCREAM1 rosenberg/ro_fear1
RO_SCREAM2 rosenberg/ro_fear2
RO_SCREAM3 rosenberg/ro_fear3
RO_SCREAM4 rosenberg/ro_fear4
RO_SCREAM5 rosenberg/ro_fear5

RO_SCARED0 rosenberg/ro_scared0
RO_SCARED1 rosenberg/ro_scared1
RO_SCARED2 rosenberg/ro_scared2

// predisaster scientist

RO_PHELLO0 scientist/greetings2
RO_PHELLO1 scientist/hello
RO_PHELLO2 scientist/hellothere

RO_PQUEST0 scientist/beverage
RO_PQUEST1 scientist/statusreport
RO_PQUEST2 scientist/tunnelcalc
RO_PQUEST3 scientist/shakeunification
RO_PQUEST4 scientist/correcttheory
RO_PQUEST5 scientist/analysis
RO_PQUEST6 scientist/purereadings
RO_PQUEST7 scientist/newsample
RO_PQUEST8 scientist/perfectday
RO_PQUEST9 scientist/cascade
RO_PQUEST10 scientist/delayagain
RO_PQUEST11 scientist/softethics
RO_PQUEST12 scientist/tunedtoday
RO_PQUEST13 scientist/donuteater
RO_PQUEST14 scientist/seencup
RO_PQUEST15 scientist/hungryyet
RO_PQUEST16 scientist/recalculate
RO_PQUEST17 scientist/checkatten

RO_PIDLE0 scientist/hideglasses
RO_PIDLE1 scientist/weartie
RO_PIDLE2 scientist/runtest
RO_PIDLE3 scientist/limitsok
RO_PIDLE4 scientist/asexpected
RO_PIDLE5 scientist/thatsodd
RO_PIDLE6 scientist/allnominal
RO_PIDLE7 scientist/shutdownchart
RO_PIDLE8 scientist/reportflux
RO_PIDLE9 scientist/simulation
RO_PIDLE10 scientist/hopenominal

//If you use Scientists in Hazard Course
RO_HAZ_OK0 holo/tr_sci_use

//If you unuse Scientists in Hazard Course
RO_HAZ_WAIT0 holo/tr_sci_unuse

//Scientists in Hazard Course
RO_GOODWORK holo/tr_sci_goodwork
RO_HARDLYNOTICE holo/tr_sci_hardlynoticed
RO_NEXTSTATION holo/tr_sci_nextstation

//If you use Scientists before the disaster

RO_POK0 scientist/sc_pok0
RO_POK1 scientist/sc_pok1
RO_POK2 scientist/sc_pok2
RO_POK3 scientist/sc_pok3
RO_POK4 scientist/sc_pok4
RO_POK5 scientist/sc_pok5
RO_POK6 scientist/sc_pok6
RO_POK7 scientist/sci_bother

// Barney specific scripts

RO_INSIDE_CAR rosenberg/ro_inside_car

RO_YARD_ROSE1 rosenberg/ro_yard_rose1
RO_YARD_ROSE2 rosenberg/ro_yard_rose2
RO_YARD_ROSE3 rosenberg/ro_yard_rose3
RO_YARD_ROSE4 rosenberg/ro_yard_rose4

RO_LETSTRYTHIS rosenberg/ro_letstrythis

RO_NULL common/null

RO_YARD_ALMOST2 rosenberg/ro_yard_almost2
RO_YARD_ALMOST3 rosenberg/ro_yard_almost3
RO_YARD_FOLLOW1 rosenberg/ro_yard_follow1
RO_YARD_FOLLOW2 rosenberg/ro_yard_follow2
RO_YARD_HURRY02 rosenberg/ro_yard_hurry02
RO_YARD_NOTIME1 rosenberg/ro_yard_notime1

RO_YARD_ACCESS1 rosenberg/ro_yard_access1
RO_YARD_ACCESS2 rosenberg/ro_yard_access2

RO_TELE_ALMOST1 rosenberg/ro_tele_almost1
RO_TELE_ALMOST2 rosenberg/ro_tele_almost2

RO_KILLED rosenberg/ro_pain1

RO_TELE_FINAL01 rosenberg/ro_tele_final01
RO_TELE_FINAL02 rosenberg/ro_tele_final02
RO_TELE_FINAL03 rosenberg/ro_tele_final03
RO_TELE_FINAL04 rosenberg/ro_tele_final04
RO_TELE_FINAL05 rosenberg/ro_tele_final05
RO_TELE_FINAL06 rosenberg/ro_tele_final06
RO_TELE_FINAL07 rosenberg/ro_tele_final07
RO_TELE_FINAL08 rosenberg/ro_tele_final08
RO_TELE_FINAL09 rosenberg/ro_tele_final09
RO_TELE_FINAL10 rosenberg/ro_tele_final10
RO_TELE_FINAL11 rosenberg/ro_tele_final11
RO_TELE_FINAL12 rosenberg/ro_tele_final12
RO_TELE_FINAL13 rosenberg/ro_tele_final13
RO_TELE_FINAL14 rosenberg/ro_tele_final14
RO_TELE_FINAL15 rosenberg/ro_tele_final15
RO_TELE_FINAL16 rosenberg/ro_tele_final16
RO_TELE_FINAL17 rosenberg/ro_tele_final17
RO_TELE_FINAL18 rosenberg/ro_tele_final18
RO_TELE_FINAL19 rosenberg/ro_tele_final19
RO_TELE_FINAL20 rosenberg/ro_tele_final20
RO_TELE_FINAL21 rosenberg/ro_tele_final21
RO_TELE_FINAL22 rosenberg/ro_tele_final22
RO_TELE_FINAL23 rosenberg/ro_tele_final23
RO_TELE_FINAL24 rosenberg/ro_tele_final24
RO_TELE_FINAL25 rosenberg/ro_tele_final25
RO_TELE_FINAL26 rosenberg/ro_tele_final26
RO_TELE_FINAL27 rosenberg/ro_tele_final27
RO_TELE_FINAL28 rosenberg/ro_tele_final28

RO_TELE_NOCELL rosenberg/ro_tele_nocell

RO_TELE_XEN01 rosenberg/ro_tele_xen01
RO_TELE_XEN02 rosenberg/ro_tele_xen02
RO_TELE_XEN03a rosenberg/ro_tele_xen03a
RO_TELE_XEN03b rosenberg/ro_tele_xen03b
RO_TELE_XEN04 rosenberg/ro_tele_xen04
RO_TELE_XEN05 rosenberg/ro_tele_xen05
RO_TELE_XEN06 rosenberg/ro_tele_xen06
RO_TELE_XEN07 rosenberg/ro_tele_xen07
RO_TELE_XEN08 rosenberg/ro_tele_xen08
RO_TELE_XEN09 rosenberg/ro_tele_xen09
RO_TELE_XEN10 rosenberg/ro_tele_xen10
RO_TELE_XEN11 rosenberg/ro_tele_xen11
RO_TELE_XEN12 rosenberg/ro_tele_xen12

RO_TOO_SLOW rosenberg/ro_too_slow

RO_XEN_CALL1 rosenberg/ro_xen_call1
RO_XEN_CALL2 rosenberg/ro_xen_call2
RO_XEN_CALL3 rosenberg/ro_xen_call3

RO_TO_TELEPORT rosenberg/ro_to_teleport

RO_YARD_SCANNER rosenberg/ro_yard_scanner

RO_TELE_POWER1 rosenberg/ro_tele_power1
RO_TELE_POWER2 rosenberg/ro_tele_power2
RO_TELE_POWER3 rosenberg/ro_tele_power3
RO_TELE_POWER4 rosenberg/ro_tele_power4
RO_TELE_POWER5 rosenberg/ro_tele_power5

RO_OUTRO1 rosenberg/ro_outro1
RO_OUTRO2 rosenberg/ro_outro2



// outdoor
WILD0 ambience/(v30) quail1(p103), quail1(t10), quail1(p101)
WILD1 ambience/bee1(v75)
WILD2 ambience/bee2(p105)
WILD3 ambience/hawk1(p98 v30)
WILD4 ambience/hawk1(p105 v20)
WILD5 ambience/(v50 p97) quail1, quail1(t15)
WILD6 ambience/bee1(p98 v50)
WILD7 ambience/bee1(p97)
WILD8 ambience/quail1(p98 v20))
WILD9 ambience/des_wind1(v50)
WILD10 ambience/des_wind2(v50)
WILD11 ambience/des_wind3(v50)
WILD9 ambience/des_wind1(v40 p105)
WILD10 ambience/des_wind2(v40 p98)
WILD11 ambience/des_wind3(v40 p103)
WILD12 ambience/wren1(v80)

// rocket
ROCKET0 ambience/steamburst1
ROCKET1 ambience/steamburst1(p80)
ROCKET2 ambience/steamburst1(p120)
ROCKET3 ambience/rocket_groan1
ROCKET4 ambience/rocket_groan2
ROCKET5 ambience/rocket_groan3
ROCKET6 ambience/rocket_groan4

// distant war zone
FAR_WAR0 ambience/(v50) distantmortar1
FAR_WAR1 ambience/(v60) distantmortar2
FAR_WAR2 ambience/(v50) distantmortar3
FAR_WAR3 ambience/(v15) biggun3
FAR_WAR4 ambience/(v20) rifle2
FAR_WAR5 ambience/(v10 p120) jetflyby1
FAR_WAR6 ambience/(v10) mgun_burst4
FAR_WAR7 ambience/(v30) distantmortar1 distantmortar3 distantmortar2
FAR_WAR8 ambience/(v10) biggun2 biggun2 biggun2
FAR_WAR9 ambience/(v15) mgun_burst1
FAR_WAR10 ambience/(v20) biggun1 rifle2
FAR_WAR11 ambience/(v60) distantmortar1 distantmortar1, distantmortar2, distantmortar1
FAR_WAR12 ambience/(v30) distantmortar2, distantmortar2 distantmortar2 distantmortar2, distantmortar3 distantmortar1
FAR_WAR13 ambience/(v10) mgun_burst2
FAR_WAR14 ambience/(v15) mgun_burst3 mgun_burst3
FAR_WAR15 ambience/(v10) rifle1 rifle1
FAR_WAR16 ambience/(v10) biggun2, biggun2 biggun2

// near war zone
NEAR_WAR0 ambience/(v60) mgun_burst3 mgun_burst3 mgun_burst3(v50)
NEAR_WAR1 ambience/(v60) rifle1 rifle2 rifle2 rifle1 rifle1
NEAR_WAR2 ambience/(v60) alienflyby1
NEAR_WAR3 ambience/(v60) biggun3 biggun3 biggun3
NEAR_WAR4 ambience/(v60) mgun_burst4 mgun_burst3 rifle1 mgun_burst4
NEAR_WAR5 ambience/(v60) jetflyby1
NEAR_WAR6 ambience/(v60) mgun_burst4 mgun_burst3
NEAR_WAR7 ambience/distantmortar1 distantmortar3 distantmortar2
NEAR_WAR8 ambience/(v60) biggun2 biggun2 biggun2 biggun2(v30)
NEAR_WAR9 ambience/(v60) mgun_burst1 mgun_burst1 rifle2 mgun_burst3
NEAR_WAR10 agrunt/(v40) ag_fire1 ag_fire2 ag_fire2 ag_fire1
NEAR_WAR11 ambience/distantmortar1 distantmortar1, distantmortar2
NEAR_WAR12 ambience/(v60) mgun_burst2 mgun_burst2 mgun_burst3 mgun_burst2



// alien slave
SLV_IDLE0 aslave/slv_word1 slv_word2
SLV_IDLE1 aslave/slv_word2 slv_word3(p95)
SLV_IDLE2 aslave/slv_word3 slv_word4
SLV_IDLE3 aslave/slv_word4 slv_word5 slv_word5(p90)
SLV_IDLE4 aslave/slv_word2(p110) slv_word6 slv_word7 slv_word3
SLV_IDLE5 aslave/slv_word6 slv_word7 slv_word2
SLV_IDLE6 aslave/slv_word7 slv_word8 slv_word3
SLV_IDLE7 aslave/slv_word8 slv_word1 slv_word8 slv_word8(p95)
SLV_IDLE8 aslave/slv_word1(p115) slv_word6
SLV_IDLE9 aslave/slv_word3 slv_word3(p90)
SLV_IDLE10 aslave/slv_word7(p85)

SLV_ALERT0 aslave/(p105) slv_alert1 slv_word2
SLV_ALERT1 aslave/(p105) slv_word8 slv_word8 slv_word8 slv_word5
SLV_ALERT2 aslave/(p105) slv_alert4 slv_word4 slv_alert3
SLV_ALERT3 aslave/(p108) slv_alert1 slv_word5
SLV_ALERT4 aslave/(p108) slv_word5(p110) slv_word8 slv_word8
SLV_ALERT5 aslave/(p108) slv_alert4 slv_word7 slv_alert1

// BARNEY HOLOGRAM

HOLO_4JUMPS ba_holo/tr_holo_4jumps
HOLO_ARMOR ba_holo/tr_holo_armor
HOLO_BREAKBOX ba_holo/tr_holo_breakbox
HOLO_BREATH ba_holo/tr_holo_breath
HOLO_BUTTON ba_holo/tr_holo_button
HOLO_CHARGER ba_holo/tr_holo_charger
HOLO_COMMENCING ba_holo/tr_holo_commencing
HOLO_CONGRATS ba_holo/tr_holo_congrats
HOLO_DONE ba_holo/tr_holo_done
HOLO_DROWN ba_holo/tr_holo_drown
HOLO_DUCK ba_holo/tr_holo_duck
HOLO_FALLSHORT ba_holo/tr_holo_fallshort
HOLO_FANTASTIC ba_holo/tr_holo_fantastic
HOLO_FLASHLIGHT ba_holo/tr_holo_flashlight
HOLO_GREATWORK ba_holo/tr_holo_greatwork
HOLO_GRENADE ba_holo/tr_holo_grenade
HOLO_HEVNOUSE ba_holo/tr_holo_hevnouse
HOLO_HITALL ba_holo/tr_holo_hitall
HOLO_INJURY ba_holo/tr_holo_injury
HOLO_INTRO ba_holo/tr_holo_intro
HOLO_JDUCK ba_holo/tr_holo_jduck
HOLO_JUMP ba_holo/tr_holo_jump
HOLO_JUMPDOWN ba_holo/tr_holo_jumpdown
HOLO_JUMPGAP ba_holo/tr_holo_jumpgap
HOLO_KEEPTRYING ba_holo/tr_holo_keeptrying
HOLO_LADDER ba_holo/tr_holo_ladder
HOLO_LEADGUARD ba_holo/tr_holo_leadguard
HOLO_LIGHTOFF ba_holo/tr_holo_lightoff
HOLO_LONGJUMP ba_holo/tr_holo_longjump
HOLO_MEDKIT ba_holo/tr_holo_medkit
HOLO_MOVE ba_holo/tr_holo_move
HOLO_NICEJOB ba_holo/tr_holo_nicejob
HOLO_PIPEDUCK ba_holo/tr_holo_pipeduck
HOLO_PULLBOX ba_holo/tr_holo_pullbox
HOLO_PUSHBOX ba_holo/tr_holo_pushbox
HOLO_RADIATION ba_holo/tr_holo_radiation
HOLO_RETRY ba_holo/tr_holo_retry
HOLO_RUNSTART ba_holo/tr_holo_runstart
HOLO_SPINBRIDGE ba_holo/tr_holo_spinbridge
HOLO_STARTLIFT ba_holo/tr_holo_startlift
HOLO_STEAM ba_holo/tr_holo_steam
HOLO_TARGET ba_holo/tr_holo_target
HOLO_TRYAGAIN ba_holo/tr_holo_tryagain
HOLO_USETRAIN ba_holo/tr_holo_usetrain

//GMAN

//c1a0 narrative

//c5 narrative

// Quick fix

SC_RESCUED scientist/c1a3_sci_rescued

